;ADM1251_grau;ADM1258_grau;ADM1259_grau;ADM1271_grau;ADM1272_grau;ADM1276_grau;ADM1451_grau;ADM1551_grau;ADM1552_grau;ADM1951_grau;ADM1952_grau;ADM1953_grau;CRE1100_grau;ECO1101_grau;ECO1310_grau;FIL0201_grau;JUR1016_grau;JUR1018_grau;LET1040_grau;MAT1127_grau;MAT1128_grau;MAT1129_grau;PSI1033_grau;SOC0201_grau;SOC0203_grau;id;semestre
13;0.73;-1.0;0.64;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.58;-1.0;-1.0;-1.0;0.73;-1.0;0.96;-1.0;-1.0;-1.0;0.42000000000000004;-1.0;-1.0;-1.0;0.38;-1.0;aluno1022;1
14;0.64;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1023;1
15;0.85;-1.0;0.65;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;0.8;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;0.8099999999999999;-1.0;aluno1024;1
16;0.73;-1.0;0.74;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;0.86;-1.0;0.97;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;aluno1025;1
17;0.78;-1.0;0.37;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;0.72;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;0.32999999999999996;-1.0;-1.0;-1.0;0.75;-1.0;aluno1026;1
18;0.8800000000000001;-1.0;0.63;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.79;-1.0;0.95;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.74;-1.0;aluno1027;1
19;0.75;-1.0;0.62;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;-1.0;0.78;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.72;-1.0;aluno1028;1
20;0.7;-1.0;0.72;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;0.73;-1.0;0.9;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;aluno1029;1
21;0.76;-1.0;0.63;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;0.82;-1.0;0.95;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.74;-1.0;aluno1030;1
22;0.8300000000000001;-1.0;0.8400000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8099999999999999;-1.0;-1.0;-1.0;0.82;-1.0;0.95;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;aluno1031;1
23;0.85;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;0.72;-1.0;0.99;-1.0;-1.0;-1.0;0.72;-1.0;-1.0;-1.0;0.86;-1.0;aluno1032;1
24;0.95;-1.0;0.74;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;0.77;-1.0;0.95;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;-1.0;0.95;-1.0;aluno1033;1
25;0.7;-1.0;0.67;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;0.76;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;0.53;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;aluno1038;1
26;0.7;-1.0;0.72;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.64;-1.0;0.9400000000000001;-1.0;-1.0;-1.0;0.36;-1.0;-1.0;-1.0;0.72;-1.0;aluno1044;1
27;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.85;-1.0;0.6799999999999999;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;0.73;0.82;-1.0;aluno1051;1
28;0.6799999999999999;-1.0;0.6900000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;0.77;-1.0;0.9;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.76;-1.0;aluno1058;1
29;0.9800000000000001;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.58;-1.0;-1.0;-1.0;0.71;-1.0;0.9800000000000001;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;0.78;-1.0;aluno1068;1
