;ARQ1000_grau;ARQ1001_grau;ARQ1002_grau;ARQ1101_grau;ARQ1102_grau;ARQ1103_grau;ART1020_grau;ART1027_grau;ART1028_grau;ART1029_grau;ART1030_grau;ART1210_grau;ART1420_grau;CIV1301_grau;CRE0700_grau;CRE1100_grau;CRE1141_grau;HIS1430_grau;HIS1850_grau;MAT1071_grau;MAT1072_grau;SOC1139_grau;id;semestre
1173;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3188;1
1174;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.62;-1.0;-1.0;-1.0;-1.0;aluno3188;2
1175;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3188;3
1176;0.65;-1.0;-1.0;0.86;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;0.54;-1.0;-1.0;aluno3190;1
1177;-1.0;0.6599999999999999;-1.0;-1.0;0.6900000000000001;-1.0;-1.0;0.8699999999999999;0.86;-1.0;-1.0;0.9800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3190;2
1178;-1.0;-1.0;0.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;-1.0;0.6;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.75;aluno3190;3
1179;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3194;1
1180;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3194;2
1181;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3194;3
1182;0.75;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;0.93;-1.0;0.75;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;aluno320;1
1183;-1.0;0.5700000000000001;-1.0;-1.0;0.8099999999999999;-1.0;-1.0;0.93;-1.0;0.8800000000000001;-1.0;0.93;-1.0;-1.0;-1.0;0.9800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno320;2
1184;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;-1.0;0.67;-1.0;-1.0;0.9;0.9400000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;0.9;aluno320;3
1185;0.75;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;0.79;-1.0;-1.0;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;aluno3202;1
1186;-1.0;0.63;-1.0;-1.0;0.76;-1.0;-1.0;0.82;0.77;-1.0;-1.0;0.86;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3202;2
1187;-1.0;-1.0;0.86;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;0.6900000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;0.8300000000000001;aluno3202;3
1188;0.96;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;aluno3214;1
1189;-1.0;0.77;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;0.9800000000000001;0.6599999999999999;-1.0;-1.0;0.96;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3214;2
