;ADM1251_grau;ADM1256_grau;ADM1258_grau;ADM1259_grau;ADM1271_grau;ADM1272_grau;ADM1275_grau;ADM1276_grau;ADM1277_grau;ADM1351_grau;ADM1451_grau;ADM1452_grau;ADM1453_grau;ADM1551_grau;ADM1552_grau;ADM1651_grau;ADM1951_grau;ADM1952_grau;ADM1953_grau;ADM1954_grau;CRE1100_grau;ECO1101_grau;ECO1310_grau;ECO1411_grau;FIL0201_grau;JUR1016_grau;JUR1018_grau;JUR1306_grau;LET1040_grau;MAT1127_grau;MAT1128_grau;MAT1129_grau;PSI1033_grau;SOC0201_grau;SOC0203_grau;id;semestre
10;0.36;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.58;-1.0;-1.0;-1.0;-1.0;0.67;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1015;1
11;0.97;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;-1.0;-1.0;0.33999999999999997;-1.0;0.6599999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;-1.0;aluno1015;2
12;0.63;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;-1.0;0.74;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1016;1
13;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.12;-1.0;-1.0;0.35;0.35;aluno1016;2
14;1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1017;1
15;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;0.9;-1.0;0.27999999999999997;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;0.54;-1.0;-1.0;-1.0;-1.0;aluno1017;2
16;0.31;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6599999999999999;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1018;1
17;0.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.31;-1.0;-1.0;-1.0;-1.0;aluno1018;2
18;0.22000000000000003;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5700000000000001;-1.0;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1019;1
19;0.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;0.36;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;0.04;-1.0;-1.0;-1.0;-1.0;aluno1019;2
20;0.63;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.79;-1.0;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1020;1
21;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;0.5700000000000001;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;0.41;-1.0;-1.0;-1.0;-1.0;aluno1020;2
22;0.6799999999999999;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;-1.0;-1.0;0.52;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.4;-1.0;aluno1021;1
23;-1.0;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;0.8;-1.0;0.73;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;0.33999999999999997;-1.0;-1.0;aluno1021;2
24;0.73;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.58;-1.0;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;0.96;-1.0;-1.0;-1.0;-1.0;0.42000000000000004;-1.0;-1.0;-1.0;0.38;-1.0;aluno1022;1
25;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.62;-1.0;-1.0;0.85;-1.0;0.7;-1.0;-1.0;0.65;0.6799999999999999;-1.0;-1.0;-1.0;0.53;-1.0;0.58;-1.0;-1.0;aluno1022;2
26;0.64;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1023;1
27;-1.0;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.29;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;0.27;-1.0;-1.0;-1.0;-1.0;aluno1023;2
28;0.85;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;0.8099999999999999;-1.0;aluno1024;1
29;-1.0;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;0.95;-1.0;0.5;-1.0;-1.0;0.95;0.75;-1.0;-1.0;-1.0;0.78;-1.0;0.63;-1.0;-1.0;aluno1024;2
30;0.73;-1.0;-1.0;0.74;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;0.97;-1.0;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;aluno1025;1
31;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;0.95;-1.0;0.8300000000000001;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;0.64;-1.0;0.8699999999999999;-1.0;-1.0;aluno1025;2
32;0.78;-1.0;-1.0;0.37;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;0.72;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;0.32999999999999996;-1.0;-1.0;-1.0;0.75;-1.0;aluno1026;1
33;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;0.75;-1.0;0.8;-1.0;-1.0;0.85;0.85;-1.0;-1.0;0.0;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;aluno1026;2
34;0.8800000000000001;-1.0;-1.0;0.63;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;0.79;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.74;-1.0;aluno1027;1
35;-1.0;-1.0;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;0.95;-1.0;0.65;-1.0;-1.0;0.95;0.72;-1.0;-1.0;-1.0;0.71;-1.0;0.65;-1.0;-1.0;aluno1027;2
36;0.75;-1.0;-1.0;0.62;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.72;-1.0;aluno1028;1
37;-1.0;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;0.95;-1.0;0.6799999999999999;-1.0;-1.0;0.75;0.9800000000000001;-1.0;-1.0;-1.0;0.61;-1.0;0.6;-1.0;-1.0;aluno1028;2
38;0.7;-1.0;-1.0;0.72;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;aluno1029;1
39;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;0.95;-1.0;0.9;-1.0;-1.0;0.8;0.95;-1.0;-1.0;-1.0;0.76;-1.0;0.7;-1.0;-1.0;aluno1029;2
40;0.76;-1.0;-1.0;0.63;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.74;-1.0;aluno1030;1
41;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6900000000000001;-1.0;-1.0;0.95;-1.0;0.8;-1.0;-1.0;0.99;0.9;-1.0;-1.0;-1.0;0.58;-1.0;0.78;-1.0;-1.0;aluno1030;2
42;0.8300000000000001;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8099999999999999;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;aluno1031;1
43;-1.0;-1.0;-1.0;-1.0;0.8099999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;0.9;-1.0;0.75;-1.0;-1.0;0.9;0.9;-1.0;-1.0;-1.0;0.72;-1.0;0.8300000000000001;-1.0;-1.0;aluno1031;2
44;0.85;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;0.72;-1.0;-1.0;0.99;-1.0;-1.0;-1.0;-1.0;0.72;-1.0;-1.0;-1.0;0.86;-1.0;aluno1032;1
45;-1.0;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;0.95;-1.0;0.97;-1.0;-1.0;0.9;1.0;-1.0;-1.0;-1.0;0.8300000000000001;-1.0;0.85;-1.0;-1.0;aluno1032;2
46;0.95;-1.0;-1.0;0.74;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;-1.0;0.95;-1.0;aluno1033;1
47;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;0.95;-1.0;0.65;-1.0;-1.0;0.95;1.0;-1.0;-1.0;-1.0;0.78;-1.0;0.63;-1.0;-1.0;aluno1033;2
48;0.7;-1.0;-1.0;0.67;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;-1.0;0.76;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;-1.0;0.53;-1.0;-1.0;-1.0;0.8400000000000001;-1.0;aluno1038;1
49;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;-1.0;-1.0;0.8;-1.0;0.9;-1.0;-1.0;0.89;0.9;-1.0;-1.0;-1.0;0.6;-1.0;0.65;-1.0;-1.0;aluno1038;2
50;0.7;-1.0;-1.0;0.72;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;-1.0;-1.0;0.36;-1.0;-1.0;-1.0;0.72;-1.0;aluno1044;1
51;-1.0;-1.0;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;0.63;-1.0;-1.0;aluno1044;2
52;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.85;-1.0;-1.0;0.6799999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;0.73;0.82;-1.0;aluno1051;1
53;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;0.8;-1.0;0.93;-1.0;-1.0;0.8;0.9800000000000001;-1.0;-1.0;-1.0;-1.0;0.96;-1.0;-1.0;-1.0;aluno1051;2
54;0.6799999999999999;-1.0;-1.0;0.6900000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.76;-1.0;aluno1058;1
55;-1.0;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.61;-1.0;-1.0;0.95;-1.0;0.47000000000000003;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;0.32999999999999996;-1.0;0.5700000000000001;-1.0;-1.0;aluno1058;2
56;0.9800000000000001;-1.0;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.58;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;0.9800000000000001;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;0.78;-1.0;aluno1068;1
57;-1.0;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;0.95;-1.0;0.75;-1.0;-1.0;0.85;0.9;-1.0;-1.0;-1.0;0.9400000000000001;-1.0;0.7;-1.0;-1.0;aluno1068;2
58;0.7;-1.0;-1.0;0.61;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.54;-1.0;-1.0;-1.0;-1.0;0.52;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;-1.0;0.25;-1.0;-1.0;-1.0;0.73;-1.0;aluno1069;1
59;-1.0;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;0.9;-1.0;0.77;-1.0;-1.0;0.9;0.71;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;0.21000000000000002;-1.0;-1.0;aluno1069;2
60;0.73;-1.0;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.95;0.76;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;0.85;-1.0;aluno1078;1
61;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;0.67;-1.0;-1.0;-1.0;-1.0;0.22000000000000003;-1.0;0.7;-1.0;-1.0;aluno1078;2
62;0.85;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;-1.0;0.61;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.58;-1.0;aluno1087;1
63;-1.0;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;-1.0;0.58;-1.0;-1.0;0.7;0.82;-1.0;-1.0;-1.0;0.5;-1.0;0.5;-1.0;-1.0;aluno1087;2
64;0.8800000000000001;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6599999999999999;-1.0;-1.0;-1.0;-1.0;0.54;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;aluno1102;1
65;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;0.9;-1.0;0.82;-1.0;-1.0;0.7;0.9;-1.0;-1.0;-1.0;0.5;-1.0;0.75;-1.0;-1.0;aluno1102;2
66;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.75;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;0.8400000000000001;0.53;-1.0;aluno1103;1
67;-1.0;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;0.8;0.8;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;-1.0;aluno1103;2
68;0.8800000000000001;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.82;-1.0;aluno1126;1
69;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;0.85;-1.0;0.76;-1.0;-1.0;0.86;0.85;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;0.71;-1.0;-1.0;aluno1126;2
70;0.7;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;0.53;-1.0;-1.0;-1.0;0.72;-1.0;aluno1132;1
71;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;0.85;-1.0;0.75;-1.0;-1.0;0.6;0.78;-1.0;-1.0;-1.0;0.0;-1.0;0.6;-1.0;-1.0;aluno1132;2
