;ARQ1000_grau;ARQ1001_grau;ARQ1101_grau;ART1020_grau;ART1028_grau;ART1420_grau;CRE1100_grau;HIS1430_grau;MAT1071_grau;SOC1139_grau;id;semestre
0;0.8;-1.0;0.76;0.85;0.7;0.96;-1.0;-1.0;0.7;-1.0;aluno0;1
1;0.8800000000000001;-1.0;0.93;0.95;0.5900000000000001;0.9;-1.0;-1.0;0.99;-1.0;aluno1;1
2;0.7;-1.0;0.71;0.89;0.75;0.65;-1.0;-1.0;0.78;-1.0;aluno100;1
3;0.7;-1.0;0.73;0.8300000000000001;0.51;0.86;-1.0;-1.0;0.85;-1.0;aluno101;1
4;0.8800000000000001;-1.0;0.75;0.93;0.79;0.8;-1.0;-1.0;0.79;-1.0;aluno102;1
5;0.6799999999999999;-1.0;0.73;0.86;0.5700000000000001;0.45;-1.0;-1.0;0.3;-1.0;aluno105;1
6;0.82;-1.0;0.54;0.96;0.0;0.54;-1.0;-1.0;0.65;-1.0;aluno106;1
7;0.58;-1.0;0.5900000000000001;0.72;0.0;0.78;-1.0;-1.0;0.8800000000000001;-1.0;aluno109;1
8;0.9400000000000001;-1.0;0.75;1.0;0.65;0.8800000000000001;-1.0;-1.0;0.8699999999999999;-1.0;aluno11;1
9;0.62;-1.0;0.71;0.9;0.5700000000000001;0.9;-1.0;-1.0;0.0;-1.0;aluno110;1
10;0.6599999999999999;-1.0;0.43;1.0;0.38;0.82;-1.0;-1.0;0.55;-1.0;aluno119;1
11;0.6799999999999999;-1.0;0.67;0.8800000000000001;0.32;0.74;-1.0;-1.0;0.52;-1.0;aluno121;1
12;0.78;-1.0;0.55;0.8300000000000001;0.27999999999999997;0.8;-1.0;-1.0;0.6;-1.0;aluno122;1
13;0.75;-1.0;0.53;0.9;0.5;0.71;-1.0;-1.0;0.62;-1.0;aluno123;1
14;0.8300000000000001;-1.0;0.76;1.0;0.89;0.9199999999999999;-1.0;-1.0;0.85;-1.0;aluno1250;1
15;0.0;-1.0;0.76;0.95;0.77;0.9400000000000001;-1.0;-1.0;0.8;-1.0;aluno1251;1
16;0.82;-1.0;0.86;1.0;0.8699999999999999;0.9199999999999999;-1.0;-1.0;0.9800000000000001;-1.0;aluno1252;1
17;0.78;-1.0;0.65;0.8300000000000001;0.6599999999999999;0.86;-1.0;-1.0;0.6599999999999999;-1.0;aluno1253;1
18;0.65;-1.0;0.74;0.8;0.8;0.77;-1.0;-1.0;0.7;-1.0;aluno1254;1
19;0.6799999999999999;-1.0;0.72;0.9199999999999999;0.6599999999999999;0.72;-1.0;-1.0;0.64;-1.0;aluno1255;1
20;0.85;-1.0;0.8099999999999999;0.9;0.71;0.8099999999999999;-1.0;-1.0;0.8699999999999999;-1.0;aluno1256;1
21;0.78;-1.0;0.73;0.77;0.71;0.86;-1.0;-1.0;0.78;-1.0;aluno1257;1
22;0.76;-1.0;0.67;0.8300000000000001;0.64;0.72;-1.0;-1.0;0.77;-1.0;aluno1258;1
23;0.0;-1.0;0.0;0.0;0.01;0.0;-1.0;-1.0;0.0;-1.0;aluno126;1
24;0.9099999999999999;-1.0;0.67;0.78;0.72;0.9800000000000001;-1.0;-1.0;0.77;-1.0;aluno1260;1
25;0.8;-1.0;0.8099999999999999;0.79;0.8;0.8;-1.0;-1.0;0.89;-1.0;aluno1261;1
26;0.6799999999999999;-1.0;0.7;0.8300000000000001;0.5900000000000001;0.76;-1.0;-1.0;0.7;-1.0;aluno1262;1
27;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;0.5;-1.0;aluno1265;1
28;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.55;-1.0;aluno1266;1
29;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.77;1.0;-1.0;-1.0;aluno1267;1
30;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;0.8300000000000001;-1.0;aluno1268;1
31;-1.0;-1.0;-1.0;-1.0;0.5700000000000001;-1.0;-1.0;-1.0;-1.0;0.85;aluno1269;1
32;0.8300000000000001;-1.0;0.67;0.8;0.65;0.9199999999999999;-1.0;-1.0;0.5700000000000001;-1.0;aluno127;1
33;0.8099999999999999;0.5;0.85;-1.0;-1.0;-1.0;0.0;-1.0;0.03;-1.0;aluno1271;1
34;0.8800000000000001;-1.0;0.8800000000000001;0.95;0.8300000000000001;0.9199999999999999;-1.0;-1.0;0.32;-1.0;aluno1272;1
35;1.0;-1.0;0.76;0.89;0.0;0.9800000000000001;-1.0;-1.0;-1.0;-1.0;aluno1273;1
36;0.65;-1.0;0.62;0.73;0.53;0.8800000000000001;-1.0;-1.0;0.6599999999999999;-1.0;aluno1274;1
37;0.74;-1.0;0.5;1.0;0.06999999999999999;0.5;-1.0;-1.0;0.61;-1.0;aluno1275;1
38;0.73;-1.0;0.51;0.75;0.51;0.85;-1.0;-1.0;0.75;-1.0;aluno1276;1
39;0.72;-1.0;0.65;0.65;0.52;0.54;-1.0;-1.0;0.6599999999999999;-1.0;aluno1277;1
40;0.75;-1.0;0.73;0.8300000000000001;0.5;0.75;-1.0;-1.0;0.37;-1.0;aluno1278;1
41;0.0;-1.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;-1.0;aluno1279;1
42;0.8400000000000001;-1.0;0.6900000000000001;0.82;0.58;0.65;-1.0;-1.0;0.53;-1.0;aluno128;1
43;0.78;-1.0;0.82;0.85;0.89;0.9099999999999999;-1.0;-1.0;0.76;-1.0;aluno1280;1
44;-1.0;-1.0;0.79;-1.0;0.77;0.79;-1.0;-1.0;0.8099999999999999;-1.0;aluno1281;1
45;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.95;-1.0;-1.0;aluno1282;1
46;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;0.5900000000000001;-1.0;aluno1283;1
47;0.78;-1.0;0.73;0.8099999999999999;0.61;0.77;-1.0;-1.0;0.79;-1.0;aluno1285;1
48;0.8099999999999999;-1.0;0.78;0.93;0.6900000000000001;0.8699999999999999;-1.0;-1.0;0.78;-1.0;aluno1286;1
49;0.72;-1.0;0.6799999999999999;0.85;0.65;0.51;-1.0;-1.0;0.63;-1.0;aluno129;1
50;0.78;-1.0;0.82;0.9;0.77;0.73;-1.0;-1.0;0.85;-1.0;aluno1290;1
51;0.9;-1.0;0.67;0.82;0.8400000000000001;1.0;-1.0;-1.0;0.8099999999999999;-1.0;aluno1291;1
52;0.8400000000000001;-1.0;0.8400000000000001;0.8300000000000001;0.79;0.86;-1.0;-1.0;0.82;-1.0;aluno1293;1
53;0.8;-1.0;0.76;0.78;0.67;0.9199999999999999;-1.0;-1.0;0.8;-1.0;aluno1294;1
54;0.96;-1.0;0.52;0.6599999999999999;0.39;0.8099999999999999;-1.0;-1.0;0.5599999999999999;-1.0;aluno1295;1
55;0.9199999999999999;-1.0;0.79;0.8699999999999999;0.85;0.9800000000000001;-1.0;-1.0;0.86;-1.0;aluno1296;1
56;0.8800000000000001;-1.0;0.89;0.8400000000000001;0.73;0.7;-1.0;-1.0;0.8800000000000001;-1.0;aluno13;1
57;0.74;-1.0;0.6900000000000001;0.86;0.7;0.6900000000000001;-1.0;-1.0;0.63;-1.0;aluno130;1
58;0.82;-1.0;0.86;0.93;0.55;0.9199999999999999;-1.0;-1.0;0.38;-1.0;aluno1300;1
59;0.8800000000000001;-1.0;0.77;0.8800000000000001;0.65;0.8300000000000001;-1.0;-1.0;0.5700000000000001;-1.0;aluno1301;1
60;0.67;-1.0;0.72;0.75;0.61;1.0;-1.0;-1.0;0.55;-1.0;aluno1302;1
61;0.72;-1.0;0.5;0.8800000000000001;0.0;0.64;-1.0;-1.0;0.5;-1.0;aluno1303;1
62;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;aluno1305;1
63;0.67;-1.0;0.6;0.8800000000000001;0.55;0.8800000000000001;-1.0;-1.0;0.7;-1.0;aluno1306;1
64;0.79;-1.0;0.72;0.95;0.31;0.82;-1.0;-1.0;0.6799999999999999;-1.0;aluno1307;1
65;0.72;-1.0;0.77;0.6900000000000001;0.67;0.78;-1.0;-1.0;0.63;-1.0;aluno1309;1
66;0.79;-1.0;0.8300000000000001;0.8800000000000001;0.64;0.89;-1.0;-1.0;0.78;-1.0;aluno1310;1
67;0.0;-1.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;-1.0;aluno1311;1
68;0.8400000000000001;-1.0;0.79;0.82;0.72;0.9199999999999999;-1.0;-1.0;0.5900000000000001;-1.0;aluno1312;1
69;0.8099999999999999;-1.0;0.73;0.9;0.44000000000000006;0.8800000000000001;-1.0;-1.0;0.5599999999999999;-1.0;aluno1313;1
70;-1.0;-1.0;-1.0;-1.0;0.45;-1.0;0.0;-1.0;-1.0;-1.0;aluno1314;1
